Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour
Intimidation by the unknown future ahead.,Intimidation,2021-12-03 18:30:00,Fearful Soul,Facebook, #Intimidation #Fear                           ,15,30,INDIA,2021,12,3,18
Helplessness sinks in as challenges pile up.,Helplessness,2020-06-20 14:20:00,Overwhelmed Heart,Twitter, #Helplessness #Overwhelmed                    ,8,15,AUSTRALIA,2020,6,20,14
Envy eats away at me as I see others' prosperity.,Envy,2018-11-07 11:30:00,Covetous Mind,Instagram, #Envy #Desire                                ,10,20,CANADA,2018,11,7,11
Regret over missed opportunities haunts my thoughts.,Regret,2017-08-25 16:00:00,Remorseful Soul,Facebook, #Regret #MissedChances                       ,12,25,UK,2017,8,25,16
Disgust at the sight of injustice and cruelty.,Disgust,2019-02-11 09:45:00,Disgusted Heart,Twitter, #Disgust #Injustice                          ,7,15,INDIA,2019,2,11,9
"Drowning in despair, hope slipping through my fingers.",Despair,2016-04-02 20:20:00,Hopeless Heart,Instagram, #Despair #Hopeless                           ,10,20,USA,2016,4,2,20
"Grief weighs heavy, tears a constant companion.",Grief,2015-10-18 15:30:00,Tearful Soul,Facebook, #Grief #Tears                                ,12,25,CANADA,2015,10,18,15
"Loneliness in a crowded room, a silent cry for connection.",Loneliness,2019-07-12 18:10:00,Isolated Mind,Twitter, #Loneliness #SeekingConnection              ,15,30,UK,2019,7,12,18
"Jealousy gnaws at my confidence, a toxic emotion.",Jealousy,2018-06-03 16:30:00,Self Doubt,Instagram, #Jealousy #Insecurity                       ,8,15,INDIA,2018,6,3,16
"Resentment festers, poisoning relationships.",Resentment,2022-01-15 12:00:00,Broken Trust,Facebook, #Resentment #BrokenTrust                     ,10,20,AUSTRALIA,2022,1,15,12
"Frustration boils over, a volcanic eruption of emotions.",Frustration,2017-04-10 14:45:00,Explosive Mind,Twitter, #Frustration #EmotionalOutburst             ,12,25,USA,2017,4,10,14
"Boredom settles like dust, life feels mundane.",Boredom,2016-11-28 19:00:00,Mundane Heart,Instagram, #Boredom #Monotony                          ,7,15,CANADA,2016,11,28,19
"Anxiety grips my chest, a relentless grip on my thoughts.",Anxiety,2018-09-05 09:30:00,Restless Mind,Facebook, #Anxiety #Restlessness                      ,10,20,UK,2018,9,5,9
"Intimidation by the challenges ahead, fear takes hold.",Intimidation,2021-10-22 18:30:00,Fearful Journey,Twitter, #Intimidation #FacingFear                   ,15,30,INDIA,2021,10,22,18
"Helplessness engulfs me, drowning in a sea of problems.",Helplessness,2019-05-08 14:20:00,Overwhelmed Soul,Instagram, #Helplessness #Struggling                   ,8,15,AUSTRALIA,2019,5,8,14
"Envy poisons my thoughts, coveting others' success.",Envy,2017-03-20 11:30:00,Green Eyed Monster,Facebook, #Envy #Success                              ,10,20,CANADA,2017,3,20,11
Regret for decisions that led to a painful present.,Regret,2018-12-15 16:00:00,Regretful Mind,Twitter, #Regret #PastChoices                        ,12,25,USA,2018,12,15,16
Disgust at the corruption that stains society.,Disgust,2016-07-01 09:45:00,Corrupted Heart,Instagram, #Disgust #Corruption                        ,7,15,UK,2016,7,1,9
"Sinking in despair, each day darker than the last.",Despair,2020-08-20 20:20:00,Drowning Soul,Facebook, #Despair #DarkDays                          ,10,20,INDIA,2020,8,20,20
"Grief overwhelms, a storm of emotions within.",Grief,2021-02-25 15:30:00,Stormy Heart,Twitter, #Grief #EmotionalStorm                      ,12,25,CANADA,2021,2,25,15
"Loneliness echoes in empty spaces, yearning for connection.",Loneliness,2019-09-12 18:10:00,Echoing Soul,Instagram, #Loneliness #YearningForConnection         ,15,30,AUSTRALIA,2019,9,12,18
"Jealousy poisons my thoughts, resentment brewing within.",Jealousy,2018-08-05 16:30:00,Poisoned Mind,Facebook, #Jealousy #Resentment                       ,8,15,USA,2018,8,5,16
"Resentment festers, a wound that refuses to heal.",Resentment,2017-01-12 12:00:00,Unforgiving Soul,Twitter, #Resentment #Unforgiving                    ,10,20,INDIA,2017,1,12,12
"Frustration escalates, a thunderstorm of emotions.",Frustration,2022-04-05 14:45:00,Thundering Mind,Instagram, #Frustration #EmotionalOutburst            ,12,25,UK,2022,4,5,14
"Boredom lingers, a stagnant pool of indifference.",Boredom,2021-10-02 19:00:00,Stagnant Heart,Facebook, #Boredom #Stagnation                        ,7,15,CANADA,2021,10,2,19
"Embarking on a journey of discovery, fueled by curiosity and a thirst for knowledge.",Curiosity,2023-04-15 10:15:00,Inquisitive Mind,Twitter, #Curiosity #Learning                        ,15,30,USA,2023,4,15,10
"Lost in the vast sea of information, an indifferent wave in the digital ocean.",Indifference,2022-11-28 17:30:00,Apathetic Observer,Instagram, #Indifference #DigitalOverload              ,7,15,CANADA,2022,11,28,17
"The complex puzzle of life leaves me in a state of perpetual confusion, seeking answers in the chaos.",Confusion,2020-04-02 09:45:00,Seeking Clarity,Facebook, #Confusion #LifePuzzle                     ,10,20,UK,2020,4,2,9
"A numbness settles over me, a shield against the overwhelming emotions life throws my way.",Numbness,2021-08-10 14:00:00,Emotionally Distant,Twitter, #Numbness #EmotionalShield                 ,8,15,INDIA,2021,8,10,14
"Gazing at the sunset, a melancholic longing for moments that slip through the fingers of time.",Melancholy,2019-06-18 20:45:00,Sunset Dreamer,Instagram, #Melancholy #SunsetMoments                 ,12,25,AUSTRALIA,2019,6,18,20
"Revisiting old photographs, caught in the embrace of nostalgia's bittersweet symphony.",Nostalgia,2018-02-05 15:15:00,Memory Lane Traveler,Facebook, #Nostalgia #MemoryLane                     ,10,20,USA,2018,2,5,15
"Torn between conflicting emotions, an ambivalence that paints my decisions in shades of uncertainty.",Ambivalence,2022-05-30 11:30:00,Mixed Feelings,Twitter, #Ambivalence #UncertainChoices             ,12,25,CANADA,2022,5,30,11
"Embracing the ebb and flow of life, finding acceptance in the dance of existence.",Acceptance,2023-01-10 16:20:00,Zen Lifestyle,Instagram, #Acceptance #LifeJourney                   ,15,30,UK,2023,1,10,16
"Facing challenges head-on, a determination that fuels the fire within to achieve the impossible.",Determination,2020-09-18 13:45:00,Resilient Spirit,Facebook, #Determination #AchieveTheImpossible       ,10,20,INDIA,2020,9,18,13
"Serenity found in the stillness of nature, a tranquil retreat from the chaos of the modern world.",Serenity,2021-07-03 19:00:00,Nature Soul,Twitter, #Serenity #NatureRetreat                   ,12,25,AUSTRALIA,2021,7,3,19
"Curiosity leading me down the rabbit hole of knowledge, a perpetual student in life's classroom.",Curiosity,2022-10-08 08:15:00,Eternal Learner,Instagram, #Curiosity #KnowledgeQuest                ,20,40,USA,2022,10,8,8
"Floating through the day with an air of indifference, detached from the mundane happenings around.",Indifference,2023-03-22 16:30:00,Aloof Observer,Facebook, #Indifference #FloatingThroughLife        ,10,20,CANADA,2023,3,22,16
"Entangled in the web of thoughts, confusion reigning as I navigate the labyrinth of ideas.",Confusion,2021-05-15 11:45:00,Thought Explorer,Twitter, #Confusion #ThoughtLabyrinth              ,15,30,UK,2021,5,15,11
"Numb to the chaos, emotions locked away, a stoic facade concealing the inner turmoil.",Numbness,2019-12-28 14:30:00,Stoic Soul,Instagram, #Numbness #StoicFacade                    ,8,15,AUSTRALIA,2019,12,28,14
"Melancholy whispers in the breeze, a silent conversation with the echoes of forgotten dreams.",Melancholy,2020-03-01 19:00:00,Dreamer In Silence,Facebook, #Melancholy #WhispersInTheBreeze         ,12,25,INDIA,2020,3,1,19
"Stumbling upon an old journal, nostalgia flooding in waves, carrying me to moments long gone.",Nostalgia,2018-07-10 15:45:00,Journal Keeper,Twitter, #Nostalgia #JournalMoments               ,10,20,CANADA,2018,7,10,15
"A tapestry of conflicting feelings, weaving through uncertainty, caught in the threads of ambivalence.",Ambivalence,2022-01-05 10:30:00,Thread Weaver,Instagram, #Ambivalence #ConflictingFeelings        ,12,25,UK,2022,1,5,10
"Embracing the flaws, finding acceptance in imperfection, a journey towards self-love.",Acceptance,2021-08-20 16:20:00,Self Love Advocate,Facebook, #Acceptance #SelfLoveJourney              ,15,30,AUSTRALIA,2021,8,20,16
"Determination burning like a wildfire, overcoming obstacles, turning dreams into reality.",Determination,2019-11-03 13:45:00,Dream Chaser,Twitter, #Determination #DreamsIntoReality        ,18,35,USA,2019,11,3,13
"Tranquil moments by the ocean, serenity washing over, a peaceful retreat within the waves' embrace.",Serenity,2020-04-12 19:30:00,Ocean Soul,Instagram, #Serenity #OceanRetreat                   ,25,50,CANADA,2020,4,12,19
"Exploring new horizons with the spark of curiosity, an adventurer in the vast landscape of knowledge.",Curiosity,2022-04-15 08:45:00,Horizon Explorer,Facebook, #Curiosity #NewHorizons                  ,22,45,INDIA,2022,4,15,8
"Drifting through the day with a nonchalant demeanor, embracing the art of indifference.",Indifference,2023-02-10 17:00:00,Nonchalant Spirit,Twitter, #Indifference #DriftingThroughLife       ,9,18,UK,2023,2,10,17
"Wrestling with thoughts, a perplexed mind lost in the labyrinth of life's complexities.",Confusion,2020-08-05 12:15:00,Complex Thinker,Instagram, #Confusion #PerplexedMind                ,14,28,AUSTRALIA,2020,8,5,12
"Immersed in a state of emotional numbness, a shield against the storm of daily struggles.",Numbness,2021-12-01 15:30:00,Shielded Heart,Facebook, #Numbness #EmotionalShield               ,10,20,USA,2021,12,1,15
"A melancholic symphony playing in the background, the soundtrack of a wistful heart.",Melancholy,2019-03-25 21:00:00,Symphony Soul,Twitter, #Melancholy #WistfulHeart                ,13,26,CANADA,2019,3,25,21
"Flipping through the pages of an old yearbook, nostalgia painting smiles and tears on my face.",Nostalgia,2017-06-18 14:45:00,Yearbook Explorer,Instagram, #Nostalgia #YearbookMemories            ,12,25,INDIA,2017,6,18,14
"Torn between opposing emotions, an ambivalence that colors my decisions with shades of uncertainty.",Ambivalence,2022-07-08 11:30:00,Decisive Dilemma,Facebook, #Ambivalence #ShadesOfUncertainty       ,15,30,AUSTRALIA,2022,7,8,11
"Embracing life's imperfections, finding acceptance in the journey, scars and all.",Acceptance,2023-05-15 16:20:00,Imperfect Harmony,Twitter, #Acceptance #ImperfectJourney            ,18,36,CANADA,2023,5,15,16
"A fiery determination burning within, fueled by the vision of reaching unparalleled heights.",Determination,2021-09-10 14:45:00,Visionary Spirit,Instagram, #Determination #UnparalleledHeights      ,20,40,UK,2021,9,10,14
"Basking in the serenity of a quiet forest, where the whispers of nature bring peace to the soul.",Serenity,2020-02-28 18:30:00,Forest Dreamer,Facebook, #Serenity #NatureWhispers                ,25,50,USA,2020,2,28,18
"Indifferent to the noise of the world, a silent observer in the midst of life's cacophony.",Indifference,2023-03-10 16:30:00,Silent Spectator,Instagram, #Indifference #SilentObserver            ,9,18,INDIA,2023,3,10,16
"Navigating through the labyrinth of thoughts, confusion a constant companion in the maze of ideas.",Confusion,2021-05-02 11:45:00,Maze Navigator,Facebook, #Confusion #ThoughtLabyrinth              ,14,28,AUSTRALIA,2021,5,2,11
"An impenetrable numbness shields me from the emotional storms, a fortress of stoic resilience.",Numbness,2019-10-18 14:30:00,Resilient Fortress,Twitter, #Numbness #StoicResilience               ,11,22,UK,2019,10,18,14
"Melancholy painting the world in hues of nostalgia, a canvas of bittersweet memories.",Melancholy,2020-01-05 20:00:00,Canvas Dreamer,Instagram, #Melancholy #BittersweetMemories         ,13,26,USA,2020,1,5,20
"A journey into the past, flipping through the pages of an old diary, nostalgia taking the lead.",Nostalgia,2018-08-10 15:45:00,Diary Explorer,Facebook, #Nostalgia #DiaryJourney                 ,12,25,CANADA,2018,8,10,15
"Ambivalence clouding decisions, caught in the crossroads of conflicting emotions.",Ambivalence,2022-01-15 10:30:00,Crossroads Traveler,Twitter, #Ambivalence #ConflictingEmotions        ,15,30,INDIA,2022,1,15,10
"Embracing imperfections, finding acceptance in the mosaic of life's beautiful chaos.",Acceptance,2021-07-20 16:20:00,Mosaic Dreamer,Instagram, #Acceptance #BeautifulChaos              ,18,36,AUSTRALIA,2021,7,20,16
"Determination as the driving force, propelling me forward on the path to extraordinary achievements.",Determination,2019-12-03 13:45:00,Pathfinder Spirit,Facebook, #Determination #ExtraordinaryPath        ,20,40,USA,2019,12,3,13
"Seeking serenity in the melody of raindrops, a tranquil escape from the noise of everyday life.",Serenity,2020-04-12 19:30:00,Raindrop Harmony,Twitter, #Serenity #RaindropMelody                ,25,50,CANADA,2020,4,12,19
"Curiosity driving the exploration of the unknown, a seeker of knowledge in uncharted territories.",Curiosity,2022-05-08 08:45:00,Seeker Of Unknowns,Instagram, #Curiosity #SeekerOfKnowledge            ,22,45,UK,2022,5,8,8
"Drifting through the day with an air of nonchalance, indifferent to the trivialities of life.",Indifference,2023-02-22 17:00:00,Nonchalant Wanderer,Facebook, #Indifference #DriftingThroughLife       ,9,18,INDIA,2023,2,22,17
"Lost in the labyrinth of thoughts, confusion casting shadows on the quest for clarity.",Confusion,2020-06-05 12:15:00,Shadowed Seeker,Twitter, #Confusion #LabyrinthOfThoughts          ,14,28,AUSTRALIA,2020,6,5,12
"Wrapped in the cloak of emotional numbness, a shield against the storms of life's turbulence.",Numbness,2021-11-30 15:30:00,Turbulent Shield,Instagram, #Numbness #EmotionalStorms               ,10,20,CANADA,2021,11,30,15
"Melancholy as a companion, painting the canvas of life with the brushstrokes of wistful yearning.",Melancholy,2019-02-25 21:00:00,Wistful Painter,Facebook, #Melancholy #WistfulYearning             ,13,26,UK,2019,2,25,21
"Leafing through the pages of an old photo album, nostalgia weaving tales of laughter and tears.",Nostalgia,2017-05-18 14:45:00,Tale Weaver,Twitter, #Nostalgia #PhotoAlbumStories            ,12,25,USA,2017,5,18,14
"Ambivalence in the air, caught between the crossroads of conflicting emotions and decisions.",Ambivalence,2022-08-05 11:30:00,Crossroads Explorer,Instagram, #Ambivalence #CrossroadsConfusion        ,15,30,CANADA,2022,8,5,11
"Embracing the beauty in imperfections, finding acceptance in the mosaic of life's unpredictable art.",Acceptance,2023-06-15 16:20:00,Mosaic Artist,Facebook, #Acceptance #UnpredictableArt            ,18,36,AUSTRALIA,2023,6,15,16
"Determination ablaze, forging a path through challenges, sculpting dreams into tangible realities.",Determination,2021-10-10 14:45:00,Dream Sculptor,Twitter, #Determination #SculptingDreams          ,20,40,UK,2021,10,10,14
"Immerse in the serenity of a moonlit night, where the quiet whispers of nature bring peace to the soul.",Serenity,2020-05-12 19:30:00,Moonlit Soul,Instagram, #Serenity #MoonlitPeace                  ,25,50,USA,2020,5,12,19
"Fueled by curiosity, venturing into uncharted realms, a fearless explorer of the mysteries of the world.",Curiosity,2022-12-01 09:15:00,Fearless Explorer,Facebook, #Curiosity #FearlessExplorer              ,22,44,INDIA,2022,12,1,9
"Wrapped in the cloak of emotional numbness, a shield against the storms of life's turbulence.",Numbness,2021-11-30 15:30:00,Turbulent Shield,Instagram, #Numbness #EmotionalStorms ,10,20,CANADA,2021,11,30,15
"Dancing through life with the exuberance of a carefree spirit, embracing joy and zest at every turn.",Zest,2018-07-12 17:45:00,Joyful Dancer,Twitter, #Zest #CarefreeSpirit ,15,30,USA,2018,7,12,17
"Basking in the golden glow of contentment, a serene river flowing through the landscape of the heart.",Contentment,2020-09-05 20:10:00,Serene Basker,Facebook, #Contentment #GoldenGlow ,18,36,AUSTRALIA,2020,9,5,20
"Gazing towards the horizon with hopeful eyes, painting a canvas of dreams illuminated by the sun of optimism.",Hopeful,2022-04-18 08:00:00,Dream Painter,Instagram, #Hopeful #CanvasOfDreams ,12,24,INDIA,2022,4,18,8
"Standing tall, proud as an oak, the branches of achievement reaching towards the sky of accomplishment.",Proud,2019-12-10 12:20:00,Oak Achiever,Twitter, #Proud #BranchesOfAchievement ,25,50,CANADA,2019,12,10,12
"A heart overflowing with gratitude, a garden where appreciation blooms in the soil of kindness and connection.",Grateful,2023-02-28 09:45:00,Heart Gardener,Facebook, #Grateful #BlossomingConnection ,20,40,USA,2023,2,28,9
"Extending a hand, empathetic threads weaving a tapestry of understanding, embracing the joys and sorrows of others.",Empathetic,2018-04-03 14:15:00,Thread Weaver,Instagram, #Empathetic #TapestryOfUnderstanding ,15,30,UK,2018,4,3,14
"Compassionate clouds, heavy with care, showering empathy on the parched grounds of human suffering.",Compassionate,2022-06-20 10:30:00,Cloud Caretaker,Twitter, #Compassionate #ShowerOfEmpathy ,18,36,AUSTRALIA,2022,6,20,10
"Playfully dancing in the rain of laughter, a whimsical spirit twirling in the puddles of joy and lightheartedness.",Playful,2020-07-08 18:00:00,Rain Dancer,Facebook, #Playful #DanceInTheRain ,22,44,CANADA,2020,7,8,18
"Soaring on the wings of a free spirit, unburdened by the chains of conformity, painting the sky with independence.",Free-Spirited,2021-08-15 11:10:00,Sky Painter,Instagram, #FreeSpirit #PaintingTheSky ,20,40,INDIA,2021,8,15,11
"Bathed in the glow of inspiration, a creative phoenix rising from the ashes of ordinary thoughts to explore new realms.",Inspired,2019-10-25 16:50:00,Phoenix Explorer,Twitter, #Inspired #CreativePhoenix ,15,30,UK,2019,10,25,16
"Navigating the sea of hope, sailing towards the sunrise of possibilities, confident in the ship of positive anticipation.",Hopeful,2023-10-05 07:30:00,Sunrise Navigator,Facebook, #Hopeful #SunriseOfPossibilities ,12,24,USA,2023,10,5,7
"Striding with confidence, footprints of self-assuredness imprinted on the sands of challenges conquered and victories claimed.",Confident,2022-02-15 13:15:00,Sand Strider,Instagram, #Confident #FootprintsOfAssuredness ,25,50,AUSTRALIA,2022,2,15,13
"Lost in the symphony of the night, a moonlit serenade that whispers tales of wanderlust and moonlit dreams.",Serenity,2021-05-08 22:00:00,Night Serenader,Twitter, #Serenity #MoonlitSerenade ,13,26,CANADA,2021,5,8,22
"Unveiling the layers of curiosity, a labyrinth of questions leading to the treasure troves of undiscovered knowledge.",Curiosity,2020-11-29 14:45:00,Knowledge Seeker,Instagram, #Curiosity #LabyrinthOfQuestions ,17,34,USA,2020,11,29,14
"In the embrace of the autumn breeze, leaves of ambivalence dancing in a waltz between choices and uncertainties.",Ambivalence,2019-09-14 10:20:00,Breeze Waltzer,Facebook, #Ambivalence #AutumnWaltz ,14,28,UK,2019,9,14,10
"Gratitude as a guiding star, navigating the constellation of blessings in the vast universe of life's precious moments.",Grateful,2022-03-12 19:55:00,Star Navigator,Twitter, #Grateful #GuidingStar ,19,38,AUSTRALIA,2022,3,12,19
"With a zestful heart, sprinting through fields of enthusiasm, chasing sunbeams and laughter in the meadows of joy.",Zest,2023-03-30 16:30:00,Meadow Sprinter,Instagram, #Zest #FieldsOfEnthusiasm ,16,32,INDIA,2023,3,30,16
"A compassionate rain, tears of empathy falling gently, nurturing the seeds of kindness in the garden of human connections.",Compassionate,2021-07-01 12:10:00,Rain Nurturer,Facebook, #Compassionate #TearsOfEmpathy ,21,42,CANADA,2021,7,1,12
"Proudly scaling the peaks of achievement, a mountaineer conquering challenges and planting the flag of success.",Proud,2020-01-05 08:45:00,Peak Conqueror,Twitter, #Proud #ScalingPeaks ,23,46,USA,2020,1,5,8
"Embraced by the hopeful dawn, a gardener sowing seeds of optimism, tending to the blooms of a brighter tomorrow.",Hopeful,2022-07-17 06:15:00,Dawn Gardener,Instagram, #Hopeful #SeedsOfOptimism ,14,28,UK,2022,7,17,6
"A playful escapade in the carnival of life, carousel laughter and cotton candy dreams swirling in the joyous atmosphere.",Playful,2018-08-22 17:20:00,Carnival Dreamer,Facebook, #Playful #CarnivalEscapade ,24,48,AUSTRALIA,2018,8,22,17
"Floating on clouds of inspiration, an artist painting the sky with strokes of creativity, creating a masterpiece of dreams.",Inspired,2021-12-08 14:30:00,Sky Artist,Twitter, #Inspired #CloudsOfCreativity ,18,36,INDIA,2021,12,8,14
"Navigating the river of contentment, a serene boat cruise through the tranquil waters of inner peace and acceptance.",Contentment,2019-04-27 09:50:00,River Navigator,Instagram, #Contentment #TranquilWaters ,20,40,CANADA,2019,4,27,9
"With empathy as a lantern, wandering through the dark alleys of sorrow, illuminating the path with compassion and care.",Empathetic,2023-09-03 21:40:00,Lantern Wanderer,Facebook, #Empathetic #LanternOfCompassion ,16,32,USA,2023,9,3,21
"A free spirit soaring on the wings of dreams, leaving trails of independence in the azure sky of boundless possibilities.",Free-Spirited,2020-06-10 10:05:00,Dream Soarer,Twitter, #FreeSpirit #WingsOfDreams ,22,44,UK,2020,6,10,10
"Bathed in the golden hues of gratefulness, a sunset of appreciation casting its warm glow on the landscapes of the heart.",Grateful,2022-04-01 18:30:00,Sunset Admirer,Instagram, #Grateful #GoldenHues ,19,38,AUSTRALIA,2022,4,1,18
"Confident strides in the dance of life, a ballroom where self-assuredness leads, twirling through challenges with grace.",Confident,2021-01-15 13:00:00,Dance Strider,Facebook, #Confident #DanceOfLife ,23,46,CANADA,2021,1,15,13
"Hopeful whispers of wind, carrying the promises of a brighter tomorrow, a symphony of optimism in the air of possibilities.",Hopeful,2023-05-06 07:20:00,Wind Whisperer,Twitter, #Hopeful #BrighterTomorrows ,15,30,INDIA,2023,5,6,7
"Playfully juggling responsibilities, a circus performer balancing the acts of work and joy, tossing laughter into the air.",Playful,2019-11-18 15:15:00,Juggling Artist,Instagram, #Playful #JugglingResponsibilities ,25,50,USA,2019,11,18,15
"Whispering tales of inspiration to the stars, a storyteller crafting constellations from the threads of imagination.",Inspired,2020-08-29 20:45:00,Star Storyteller,Facebook, #Inspired #TalesToTheStars ,14,28,UK,2020,8,29,20
"Charting a course through the waves of hopeful anticipation, a sailor steering towards the shores of dreams yet unexplored.",Hopeful,2022-10-30 11:40:00,Wave Navigator,Twitter, #Hopeful #SailorOfDreams ,17,34,AUSTRALIA,2022,10,30,11
"A compassionate rain, tears of empathy falling gently, nurturing the seeds of kindness in the garden of human connections.",Compassionate,2021-07-01 12:10:00,Rain Nurturer,Instagram, #Compassionate #TearsOfEmpathy ,21,42,CANADA,2021,7,1,12
"Embraced by the hopeful dawn, a gardener sowing seeds of optimism, tending to the blooms of a brighter tomorrow.",Hopeful,2022-07-17 06:15:00,Dawn Gardener,Instagram, #Hopeful #SeedsOfOptimism ,14,28,INDIA,2022,7,17,6
"Drowning in the abyss of despair, a heart shattered into fragments, lost in the echoing silence of hopelessness.",Despair,2021-09-15 16:00:00,Shattered Heart,Instagram, #Despair #EchoingSilence ,8,16,CANADA,2021,9,15,16
"Bitterness festering like a venomous vine, entwining the soul in a web of resentment, poisoning the garden of peace.",Bitterness,2019-03-08 14:20:00,Venomous Soul,Facebook, #Bitterness #ResentmentWeb ,12,24,UK,2019,3,8,14
"Wandering through the desert of loneliness, each step a heavy sigh, mirages of connection shimmering but never materializing.",Loneliness,2017-07-20 11:45:00,Desert Wanderer,Twitter, #Loneliness #MiragesOfConnection ,15,30,USA,2017,7,20,11
"Yearning for a touch that's not there, echoes of a distant warmth haunting the heart in the cold embrace of solitude.",Yearning,2020-11-02 19:30:00,Cold Embrace,Instagram, #Yearning #DistantWarmth ,10,20,AUSTRALIA,2020,11,2,19
"Eyes wide open in the night, fearful shadows dancing on the walls, the mind a prisoner of imagined horrors.",Fearful,2022-05-12 02:00:00,Night Prisoner,Facebook, #Fearful #ImaginedHorrors ,18,36,INDIA,2022,5,12,2
"Apprehensive steps on the tightrope of uncertainty, a balancing act where the fall seems inevitable, anxiety a constant companion.",Apprehensive,2023-04-08 13:15:00,Tightrope Walker,Twitter, #Apprehensive #BalancingAct ,14,28,UK,2023,4,8,13
"Overwhelmed by the weight of the world, Atlas with trembling shoulders, each responsibility a boulder in the landscape of exhaustion.",Overwhelmed,2021-06-25 17:50:00,Atlas Bearer,Instagram, #Overwhelmed #BouldersOfExhaustion ,22,44,CANADA,2021,6,25,17
"Jealousy, a green-eyed monster, lurking in the shadows, casting a dark cloud over the sunshine of others' success.",Jealous,2019-08-30 10:10:00,Green Monster,Facebook, #Jealous #GreenEyedMonster ,16,32,USA,2019,8,30,10
"Devastated by the storm of betrayal, the wreckage of trust scattered like debris, a heart torn by the winds of broken promises.",Devastated,2022-08-03 15:30:00,Storm Survivor,Twitter, #Devastated #WindsOfBrokenPromises ,25,50,AUSTRALIA,2022,8,3,15
"Frustrated fingers tapping on the keyboard, a symphony of annoyance composing an unsolvable puzzle of unmet expectations.",Frustrated,2020-12-17 09:20:00,Puzzle Composer,Instagram, #Frustrated #UnsolvablePuzzle ,12,24,INDIA,2020,12,17,9
"Envious eyes fixated on the gilded prize, a heartache fueled by the painful desire for possessions that seem forever out of reach.",Envious,2021-02-28 22:45:00,Gilded Heartache,Facebook, #Envious #GildedPrize ,20,40,USA,2021,2,28,22
"Dismissive glances, a fortress built with indifference, walls impenetrable to the pleas of understanding and recognition.",Dismissive,2018-05-10 14:00:00,Indifferent Fort,Twitter, #Dismissive #ImpenetrableWalls ,14,28,UK,2018,5,10,14
"Shattered dreams lie on the floor like fragments of glass, a mosaic of disappointment crafted by the hands of frustration.",Frustrated,2022-01-07 11:10:00,Dream Mosaic,Instagram, #Frustrated #MosaicOfDisappointment ,15,30,CANADA,2022,1,7,11
"Loneliness, a silent companion in the night, the only echo in the chamber of solitude, a heart's solitary nocturne.",Loneliness,2019-09-19 03:30:00,Nocturnal Echo,Facebook, #Loneliness #SolitaryNocturne ,18,36,AUSTRALIA,2019,9,19,3
"Fearful whispers in the dark, the mind haunted by the specter of the unknown, shadows dancing to the rhythm of anxiety's tune.",Fearful,2023-07-14 23:00:00,Dark Whispers,Twitter, #Fearful #SpecterOfTheUnknown ,13,26,UK,2023,7,14,23
"Bitterness, a bitter aftertaste lingering on the tongue, each word a reminder of wounds that refuse to heal with the passing of time.",Bitterness,2020-04-05 16:20:00,Lingering Taste,Instagram, #Bitterness #BitterAftertaste ,10,20,INDIA,2020,4,5,16
"Overwhelmed by the cacophony of expectations, a drowning soul in the tempest of pressure, struggling to stay afloat.",Overwhelmed,2021-11-29 08:45:00,Tempest Survivor,Facebook, #Overwhelmed #DrowningSoul ,20,40,USA,2021,11,29,8
"Jealousy, a venom that seeps through the veins, poisoning the heart and turning it into a breeding ground for discontent.",Jealous,2019-12-12 17:00:00,Venomous Heart,Twitter, #Jealous #HeartOfDiscontent ,16,32,AUSTRALIA,2019,12,12,17
"Devastated by the revelation of betrayal, the trust shattered like fragile glass, leaving shards of pain in its wake.",Devastated,2022-05-20 14:50:00,Fragile Trust,Instagram, #Devastated #ShatteredTrust ,25,50,CANADA,2022,5,20,14
"Frustrated attempts to mend a broken connection, the threads of understanding slipping through the fingers like grains of sand.",Frustrated,2020-09-03 12:15:00,Broken Threads,Facebook, #Frustrated #SlippingThreads ,14,28,UK,2020,9,3,12
"Envious gazes cast upon the podium of success, a bitter pill swallowed, the taste lingering as a constant reminder of unattained heights.",Envious,2021-02-10 19:30:00,Success Pill,Twitter, #Envious #BitterPill ,20,40,USA,2021,2,10,19
"Dismissive gestures, a curtain drawn to shield the vulnerability, a stage where emotions take a backseat to the performance of indifference.",Dismissive,2018-08-18 14:40:00,Curtain Shield,Instagram, #Dismissive #IndifferencePerformance ,12,24,AUSTRALIA,2018,8,18,14
"Despair like a heavy fog, enveloping every thought, blurring the path ahead, a journey in the labyrinth of utter hopelessness.",Despair,2022-02-28 21:00:00,Foggy Labyrinth,Facebook, #Despair #LabyrinthOfHopelessness ,8,16,CANADA,2022,2,28,21
"Bitterness, a bitter chill in the air, freezing moments into icicles of resentment that dangle precariously over the landscape of memory.",Bitterness,2019-10-15 10:30:00,Icy Resentment,Twitter, #Bitterness #IciclesOfResentment ,15,30,UK,2019,10,15,10
"Loneliness, a solitary moon in a starless sky, casting a cold glow on the landscape of isolation, where echoes bounce in empty spaces.",Loneliness,2017-12-01 18:50:00,Solitary Moon,Instagram, #Loneliness #StarlessSky ,18,36,USA,2017,12,1,18
"Yearning for the warmth of a vanished sun, a heartache painted in the hues of a sunset that never graced the horizon.",Yearning,2020-04-18 16:15:00,Vanished Sunset,Facebook, #Yearning #HuesOfSunset ,10,20,AUSTRALIA,2020,4,18,16
